Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt
0,2,1,0,1013,0,513,1526,0,0,1,0,2,1,3,6,0,0,,,
0,0,0,0,990,0,0,990,1,0,1,0,3,1,2,5,0,0,,,
0,2,0,1,1040,0,0,1040,0,0,1,0,2,1,2,4,0,0,,Detchd,1950.0
0,2,0,0,1235,0,0,1235,0,0,1,0,2,1,2,6,0,0,,Attchd,1961.0
0,0,0,0,964,0,0,964,1,0,1,0,2,1,2,5,0,0,,Detchd,1921.0
1,0,1,0,1260,1031,0,2291,0,1,2,0,4,2,2,9,0,1,1,Detchd,1900.0
0,0,0,0,905,881,0,1786,1,0,2,1,3,1,1,7,0,0,,Attchd,1997.0
0,1,0,0,680,790,0,1470,0,0,2,1,3,1,2,6,0,1,2,BuiltIn,1993.0
0,0,0,0,1588,0,0,1588,0,0,2,0,3,1,1,6,0,0,,Attchd,1999.0
0,2,0,2,960,0,0,960,1,0,1,0,3,1,2,6,0,0,,Attchd,1965.0
0,3,1,0,835,0,0,835,0,0,1,0,2,1,2,5,0,0,,Basment,1920.0
0,3,0,0,1225,0,0,1225,1,0,1,1,3,1,2,6,0,0,,,
0,1,0,0,1610,0,0,1610,1,0,2,0,3,1,1,6,0,2,2,Attchd,1977.0
0,2,0,0,977,755,0,1732,0,0,2,1,3,1,1,7,0,1,2,Attchd,1985.0
0,2,0,0,1535,0,0,1535,0,0,2,0,4,2,2,8,0,0,,Attchd,1979.0
0,0,0,0,1226,0,0,1226,0,0,2,0,3,1,1,6,0,0,,Attchd,2009.0
0,0,0,2,1226,592,0,1818,0,0,1,1,4,1,2,7,0,2,2,Detchd,1951.0
0,0,0,0,1053,939,0,1992,0,0,2,1,3,1,1,9,0,1,1,Attchd,2003.0
0,1,0,0,1047,0,0,1047,0,0,1,0,2,1,2,6,0,0,,Detchd,1954.0
0,0,0,0,789,0,0,789,0,0,1,0,2,1,2,5,0,0,,Detchd,1948.0
1,2,1,2,997,520,0,1517,0,0,2,0,3,1,3,7,0,0,,,
0,0,0,0,1844,0,0,1844,0,0,2,0,3,1,2,7,0,1,2,Attchd,1977.0
0,1,0,0,1216,639,0,1855,0,0,2,0,4,1,2,7,0,0,,Attchd,1954.0
0,0,0,0,774,656,0,1430,0,0,2,1,3,1,2,7,0,1,2,BuiltIn,2000.0
0,0,0,0,1282,1414,0,2696,1,0,2,1,4,1,0,10,0,1,1,BuiltIn,2007.0
0,2,0,0,2259,0,0,2259,1,0,2,0,3,1,1,7,0,2,1,Basment,1953.0
0,0,0,0,1436,884,0,2320,1,0,2,1,3,1,1,9,0,1,2,Detchd,1945.0
0,1,0,0,729,729,0,1458,0,0,2,1,2,1,2,5,0,1,3,Detchd,1999.0
0,2,0,0,1092,0,0,1092,0,1,1,0,3,1,2,6,0,1,4,Attchd,1962.0
0,1,0,0,1125,0,0,1125,0,0,1,1,2,1,2,5,0,0,,Attchd,2007.0
0,1,0,0,1699,1523,0,3222,1,0,3,0,5,1,1,11,0,2,2,Attchd,1990.0
0,0,0,0,728,728,0,1456,0,0,2,1,3,1,1,8,0,1,1,Attchd,2005.0
0,0,0,0,988,0,0,988,1,0,1,0,1,1,2,4,0,2,2,Attchd,1969.0
0,1,0,0,772,351,0,1123,0,0,1,0,3,1,2,4,0,0,,Detchd,1979.0
0,1,0,0,1080,0,0,1080,0,0,1,0,3,1,2,5,0,0,,Attchd,1958.0
0,0,0,0,1199,0,0,1199,0,0,2,0,2,1,1,5,0,0,,Attchd,1993.0
0,2,0,0,1586,0,0,1586,0,0,2,0,3,1,2,7,0,1,2,Attchd,1979.0
0,1,1,0,520,0,234,754,1,0,1,0,2,1,2,5,0,0,,,
0,2,0,0,958,0,0,958,0,0,2,0,2,1,2,5,0,1,2,Attchd,1977.0
0,0,0,0,840,0,0,840,0,0,1,0,3,1,2,5,0,1,2,,
0,2,0,0,660,688,0,1348,0,0,1,1,3,1,2,6,0,1,3,Attchd,1966.0
0,2,0,1,1053,0,0,1053,0,1,1,1,3,1,0,6,0,0,,2Types,1998.0
0,0,0,0,1216,941,0,2157,0,0,2,1,4,1,1,8,0,2,1,Attchd,1966.0
0,0,0,0,1022,1032,0,2054,1,0,2,1,3,1,1,7,0,1,2,BuiltIn,2000.0
0,1,0,0,1327,0,0,1327,1,0,1,0,3,1,1,7,0,0,,Detchd,1974.0
0,0,0,0,1296,0,0,1296,1,0,2,0,2,1,1,6,0,0,,Attchd,2001.0
0,1,0,0,1721,0,0,1721,0,0,2,1,3,1,2,7,1,1,2,Attchd,1968.0
0,1,0,0,1682,0,0,1682,0,0,2,0,3,1,2,7,0,1,1,Attchd,1970.0
0,2,0,0,1214,0,0,1214,0,0,2,0,3,1,2,5,0,1,3,Attchd,1967.0
0,1,0,0,1959,0,0,1959,0,0,3,0,5,2,2,9,0,0,,2Types,1989.0
0,0,0,0,1004,848,0,1852,0,0,2,1,3,1,1,7,0,2,2,Attchd,1999.0
0,0,0,0,928,836,0,1764,1,0,2,1,3,1,1,7,0,0,,Attchd,1997.0
0,2,0,0,864,0,0,864,0,0,1,0,3,1,2,5,0,1,4,,
0,0,0,0,1734,0,0,1734,1,0,2,0,3,1,1,7,0,0,,Attchd,2005.0
0,3,0,0,910,475,0,1385,0,0,2,0,4,1,2,6,0,0,,Detchd,2000.0
0,0,0,0,1501,0,0,1501,1,0,2,0,3,1,1,6,0,0,,Attchd,1999.0
0,2,0,0,1728,0,0,1728,1,0,2,0,6,2,2,10,0,0,,Detchd,1963.0
0,0,0,0,970,739,0,1709,0,0,2,0,3,1,1,7,4,0,,Detchd,2004.0
0,2,0,1,875,0,0,875,1,0,1,0,2,1,2,5,0,0,,Detchd,1931.0
0,0,0,0,884,1151,0,2035,0,0,2,1,3,1,1,8,0,1,1,BuiltIn,2001.0
0,0,0,0,1080,0,0,1080,1,0,1,0,3,1,1,6,0,0,,,
0,1,0,1,896,448,0,1344,0,0,1,0,3,1,2,7,0,0,,Detchd,1936.0
0,2,0,0,969,0,0,969,0,0,1,1,3,1,2,5,0,0,,Attchd,1975.0
0,0,0,0,1710,0,0,1710,1,0,2,0,2,1,1,6,0,1,1,Attchd,2007.0
0,1,0,0,1097,896,0,1993,0,0,2,1,4,1,2,8,0,1,1,Attchd,1971.0
0,1,0,0,1252,0,0,1252,1,0,1,0,1,1,2,4,0,1,1,Attchd,1960.0
0,2,0,1,1200,0,0,1200,0,0,1,0,4,1,2,7,0,0,,Detchd,1923.0
Grav,3,1,2,572,524,0,1096,0,0,1,0,2,1,2,5,0,0,,,
0,2,0,2,1040,0,0,1040,0,0,1,0,2,1,2,5,0,0,,Detchd,1950.0
0,0,0,0,774,1194,0,1968,0,0,2,1,4,1,0,8,0,1,1,BuiltIn,2009.0
0,0,0,0,991,956,0,1947,0,0,2,1,3,1,1,8,0,1,1,Attchd,2004.0
0,0,0,0,1392,1070,0,2462,1,0,2,1,4,1,1,9,0,1,1,Attchd,2006.0
0,2,0,0,1232,0,0,1232,0,0,2,0,3,1,2,6,0,0,,Attchd,1984.0
0,0,0,0,1572,1096,0,2668,1,0,2,1,3,1,0,10,0,2,1,BuiltIn,2003.0
0,0,0,0,1541,0,0,1541,0,0,2,0,3,1,1,7,0,1,1,Attchd,2005.0
0,0,0,0,882,0,0,882,0,0,1,0,1,1,2,4,0,0,,,
0,1,0,1,1149,467,0,1616,0,0,2,0,3,1,1,5,0,0,,Detchd,1926.0
0,1,0,0,808,547,0,1355,1,0,2,0,4,2,2,6,0,0,,,
0,0,0,1,1867,0,0,1867,1,0,1,0,2,1,2,7,0,3,1,Attchd,1955.0
0,0,0,0,1610,551,0,2161,1,0,1,1,3,1,0,8,0,1,1,Attchd,2007.0
0,0,0,0,840,880,0,1720,0,0,2,1,3,1,1,7,0,1,1,Attchd,2004.0
0,2,0,0,1707,0,0,1707,0,0,2,1,2,1,2,6,0,1,2,Attchd,1981.0
0,2,0,0,854,0,528,1382,0,0,1,1,2,1,2,7,0,0,,Detchd,1991.0
0,3,0,0,1656,0,0,1656,1,0,1,0,3,1,2,7,0,2,1,Attchd,1960.0
0,1,0,0,1064,703,0,1767,1,0,2,0,2,1,1,5,0,1,2,Attchd,1987.0
0,2,0,0,1362,0,0,1362,1,0,1,1,3,1,2,6,0,1,2,Attchd,1961.0
0,2,0,0,1651,0,0,1651,1,0,2,0,3,1,2,7,2,1,2,Attchd,1986.0
0,2,0,0,2158,0,0,2158,1,0,2,0,4,1,1,7,0,1,1,Attchd,1950.0
0,2,0,0,1164,896,0,2060,0,1,2,1,4,1,2,8,0,1,2,Attchd,1988.0
0,0,0,0,1252,668,0,1920,1,0,2,0,4,1,1,8,0,1,1,Attchd,1958.0
0,0,0,0,2234,0,0,2234,1,0,2,0,1,1,0,9,0,1,1,Attchd,2009.0
0,2,0,0,968,0,0,968,0,0,1,0,2,1,2,5,0,0,,Detchd,1935.0
0,0,0,0,769,756,0,1525,0,0,2,1,3,1,1,5,0,1,2,Detchd,2000.0
0,1,0,0,901,901,0,1802,0,0,1,1,4,1,2,9,0,1,1,Detchd,1920.0
0,0,0,0,1340,0,0,1340,0,0,1,0,3,1,2,7,0,1,1,Attchd,1957.0
0,0,0,0,1362,720,0,2082,0,0,2,1,3,1,1,6,3,0,,Detchd,2003.0
0,1,0,0,936,316,0,1252,0,0,1,0,3,1,2,5,0,0,,Attchd,1986.0
0,0,0,0,1518,1518,572,3608,0,0,2,1,4,1,0,12,0,2,2,Detchd,1993.0
0,0,0,0,1217,0,0,1217,1,0,2,0,3,1,1,6,0,0,,Attchd,1990.0
0,0,0,0,808,704,144,1656,0,0,2,1,3,1,2,8,2,0,,Detchd,1916.0
0,2,0,0,1224,0,0,1224,2,0,0,2,2,2,2,6,0,2,2,Detchd,1979.0
0,0,0,0,1593,0,0,1593,1,0,1,1,0,1,0,5,0,1,1,Attchd,2001.0
0,2,0,0,1549,1178,0,2727,0,0,2,1,3,1,1,10,4,2,2,Detchd,1932.0
0,1,0,0,725,754,0,1479,1,0,1,1,4,1,1,7,0,0,,Attchd,1972.0
0,0,0,0,1431,0,0,1431,1,0,2,0,3,1,1,6,0,0,,Attchd,1999.0
0,0,0,0,970,739,0,1709,0,0,2,0,3,1,1,7,4,0,,Detchd,2004.0
0,2,0,0,864,0,0,864,0,0,1,0,3,1,2,5,0,0,,Detchd,1989.0
0,2,0,0,855,601,0,1456,0,0,2,1,3,1,2,7,0,1,2,Attchd,1976.0
0,0,0,0,1726,0,0,1726,1,0,2,0,3,1,0,8,0,1,1,Attchd,2007.0
0,1,0,0,1360,1360,392,3112,1,1,2,0,4,1,1,8,0,1,0,Detchd,1918.0
0,0,0,0,929,929,371,2229,0,0,1,0,5,1,2,8,0,0,,,
0,0,0,0,1713,0,0,1713,1,0,2,0,3,1,0,7,0,1,1,Attchd,2004.0
0,0,0,0,1121,0,0,1121,0,0,2,0,2,1,2,5,0,0,,Attchd,2003.0
0,2,0,0,1279,0,0,1279,0,1,2,0,3,1,2,6,0,2,3,Detchd,1980.0
0,1,0,0,865,445,0,1310,0,0,2,0,2,1,2,6,1,0,,Attchd,1924.0
0,0,0,0,848,0,0,848,1,0,1,0,1,1,1,3,0,1,1,Attchd,2004.0
0,2,0,0,720,564,0,1284,0,0,1,1,2,1,2,5,0,0,,Detchd,1948.0
0,0,0,0,1442,0,0,1442,0,0,2,0,3,1,2,5,0,0,,Attchd,1990.0
0,2,0,0,1696,0,0,1696,0,0,1,1,3,1,2,8,2,1,2,Attchd,1962.0
0,2,0,0,1100,0,0,1100,1,0,1,0,3,1,2,6,0,1,4,Attchd,1960.0
0,0,0,0,1180,882,0,2062,1,0,2,1,3,1,2,7,0,1,1,Attchd,1988.0
0,0,0,0,1092,0,0,1092,1,0,1,0,3,1,2,6,0,0,,Attchd,1964.0
0,2,1,1,864,0,0,864,1,0,1,0,2,1,2,5,0,0,,,
0,0,0,0,1212,0,0,1212,0,0,2,0,3,1,1,6,0,0,,Attchd,2009.0
0,0,0,0,932,920,0,1852,1,0,2,1,3,1,1,7,0,1,2,Attchd,2009.0
0,0,0,0,990,0,0,990,0,1,1,0,3,1,2,5,0,0,,Attchd,1996.0
0,0,0,0,689,703,0,1392,0,0,1,1,3,1,2,6,0,0,,Attchd,1977.0
0,2,0,0,1236,0,0,1236,0,1,1,0,2,1,1,6,1,1,3,Attchd,1957.0
0,0,0,0,1436,0,0,1436,1,0,2,0,3,1,1,8,0,0,,Attchd,2004.0
0,3,1,0,810,518,0,1328,0,0,1,0,3,1,2,8,0,0,,Detchd,1940.0
0,0,0,0,1137,817,0,1954,0,1,1,1,3,1,1,8,0,2,2,Attchd,1939.0
0,0,0,0,1248,0,0,1248,0,0,2,0,2,1,1,5,0,0,,Attchd,2005.0
0,0,0,0,1498,0,0,1498,0,0,2,0,2,1,1,5,0,0,,Attchd,2006.0
0,0,0,0,1010,1257,0,2267,0,0,2,1,4,1,1,8,0,1,2,BuiltIn,2002.0
0,2,0,0,811,741,0,1552,1,0,2,1,3,1,2,6,0,1,2,Attchd,1975.0
0,1,0,0,864,0,0,864,0,0,1,0,2,1,2,4,0,0,,Detchd,1989.0
0,0,0,0,2392,0,0,2392,0,0,2,0,3,1,0,8,0,1,0,Attchd,2003.0
0,2,0,0,630,672,0,1302,0,0,2,1,3,1,2,6,0,0,,Detchd,1991.0
0,0,0,0,1214,1306,0,2520,0,0,2,1,4,1,1,9,0,1,2,Attchd,1995.0
0,2,0,0,483,504,0,987,0,0,1,1,2,1,2,5,0,0,,Detchd,1987.0
0,2,0,0,912,0,0,912,0,0,1,0,3,1,2,5,0,1,3,Detchd,1974.0
0,0,0,0,1555,0,0,1555,0,0,2,0,2,1,1,7,0,1,2,Attchd,2005.0
0,2,0,0,1194,0,0,1194,1,0,1,0,3,1,2,6,0,0,,Attchd,1959.0
0,0,0,0,1490,1304,0,2794,1,0,2,1,4,1,0,9,0,1,2,Attchd,1995.0
0,2,0,0,483,504,0,987,0,0,1,1,2,1,2,5,0,1,4,Attchd,1972.0
0,2,0,0,894,0,0,894,1,0,1,0,3,1,2,5,0,0,,Attchd,1976.0
0,0,0,0,860,1100,0,1960,1,0,2,1,4,1,1,8,0,2,2,BuiltIn,2002.0
0,2,0,0,483,504,0,987,0,0,1,1,2,1,2,5,0,0,,Detchd,1971.0
0,0,0,0,1414,0,0,1414,0,0,2,0,3,1,1,6,0,0,,Attchd,2004.0
0,0,0,0,1014,730,0,1744,0,0,2,1,3,1,1,7,0,0,,Attchd,1993.0
0,0,0,0,1694,0,0,1694,0,0,2,0,3,1,1,7,0,0,,Attchd,2007.0
0,2,0,1,798,689,0,1487,0,0,1,1,3,1,2,7,0,1,1,Detchd,1949.0
0,0,0,0,1566,0,0,1566,1,0,2,0,3,1,1,7,0,0,,Attchd,2008.0
0,1,0,0,866,0,0,866,0,0,1,0,2,1,1,4,0,0,,,
0,1,1,1,889,551,0,1440,0,0,1,0,3,1,2,6,0,0,,Attchd,1940.0
0,2,0,0,626,591,0,1217,0,0,1,1,3,1,2,6,0,1,2,Attchd,1980.0
0,0,0,0,1222,888,0,2110,1,0,2,1,3,1,1,8,0,2,3,Attchd,1994.0
0,1,0,0,1872,0,0,1872,0,1,2,0,3,1,2,6,0,1,2,Attchd,1988.0
0,1,1,3,908,1020,0,1928,0,0,2,0,4,2,3,9,0,0,,Detchd,1910.0
0,0,0,0,1375,0,0,1375,0,0,1,0,2,1,2,5,0,1,2,Attchd,1954.0
0,0,0,0,840,828,0,1668,0,0,2,1,3,1,1,8,0,0,,Attchd,2003.0
0,1,0,0,1444,700,0,2144,0,1,2,0,4,1,1,7,0,2,2,Attchd,1958.0
0,0,0,0,1306,0,0,1306,0,0,1,0,3,1,3,6,3,0,,,
0,0,0,0,1625,0,0,1625,1,1,2,0,2,1,1,5,0,1,1,Attchd,2006.0
0,0,0,0,798,842,0,1640,0,0,2,1,3,1,1,6,0,0,,Attchd,2004.0
0,0,0,0,1302,0,0,1302,0,1,2,0,3,1,1,7,1,0,,Attchd,1964.0
0,2,0,0,1314,0,0,1314,1,0,1,0,3,1,2,5,0,0,,Attchd,1957.0
0,0,0,0,1005,1286,0,2291,0,0,2,1,4,1,1,8,0,1,2,BuiltIn,1999.0
0,0,0,0,864,864,0,1728,0,0,2,1,3,1,1,7,0,0,,Attchd,2003.0
0,0,0,0,1604,0,0,1604,1,0,2,1,3,1,1,8,0,1,1,Attchd,2006.0
0,0,0,0,963,829,0,1792,0,0,2,1,3,1,1,7,0,1,2,Attchd,2001.0
0,1,0,1,882,0,0,882,0,0,1,0,2,1,2,4,0,0,,Detchd,1956.0
0,2,0,0,1382,0,0,1382,1,0,1,0,3,1,2,6,0,1,2,Attchd,1991.0
0,0,0,0,1482,1092,0,2574,0,0,2,1,3,1,0,10,0,1,1,BuiltIn,2007.0
0,2,0,0,1212,0,0,1212,1,0,1,0,3,1,2,6,0,1,2,Attchd,1978.0
0,2,0,0,926,0,390,1316,1,0,1,0,3,1,2,6,0,0,,Detchd,1974.0
0,1,1,3,764,0,0,764,0,0,1,0,2,1,2,4,0,0,,Detchd,1965.0
0,2,0,0,1422,0,0,1422,0,0,2,0,3,1,1,7,0,1,2,Attchd,1981.0
0,1,0,0,802,709,0,1511,1,0,2,1,3,1,2,8,0,1,2,Attchd,1997.0
0,0,0,0,1052,720,420,2192,0,0,2,1,4,1,1,8,0,1,1,Detchd,1939.0
0,0,0,0,778,0,0,778,0,0,1,0,2,1,2,4,0,1,1,Detchd,1966.0
0,2,0,0,1113,0,0,1113,1,0,1,1,3,1,2,6,0,1,3,Attchd,1987.0
0,1,0,0,1095,844,0,1939,0,0,2,1,3,1,1,8,0,1,1,Attchd,2006.0
0,0,0,0,1363,0,0,1363,1,0,1,0,2,1,2,5,3,2,2,Attchd,1954.0
0,0,0,0,1164,1106,0,2270,0,0,2,1,4,1,1,9,0,1,1,Attchd,1999.0
0,1,0,0,1632,0,0,1632,1,0,2,0,3,1,2,6,1,1,1,Attchd,1958.0
0,2,0,0,816,0,0,816,0,0,1,0,2,1,2,5,0,0,,Attchd,1982.0
1,1,1,0,952,596,0,1548,0,0,2,1,3,1,0,5,0,0,,Detchd,1978.0
0,0,0,0,1560,0,0,1560,0,0,2,0,3,1,1,7,0,0,,Attchd,2003.0
0,0,0,0,864,0,0,864,0,0,1,0,2,1,2,4,0,0,,Detchd,1951.0
0,0,0,0,2121,0,0,2121,0,0,2,1,3,1,0,8,0,1,0,Attchd,2007.0
0,0,0,0,1156,866,0,2022,0,0,2,1,4,1,2,8,0,1,2,Attchd,1977.0
0,1,0,0,1175,807,0,1982,0,0,2,1,3,1,1,7,0,1,2,Attchd,1989.0
